"","X","contest","candidate_count","year","contested","choice","party","district"
"1120",97,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",2,2010,"Yes","Jimmy Dixon","REP",4
"1121",98,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",2,2010,"Yes","Mott Blair","DEM",4
"1122",99,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2010,"Yes","Violet Rhinehart","DEM",40
"1123",100,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2010,"Yes","Marilyn Avila","REP",40
"1124",101,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2010,"Yes","Chris Heagarty","DEM",41
"1125",102,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2010,"Yes","Tom Murry","REP",41
"1126",103,"NC HOUSE OF REPRESENTATIVES DISTRICT 42",1,2010,"No","Marvin W. Lucas","DEM",42
"1127",104,"NC HOUSE OF REPRESENTATIVES DISTRICT 43",1,2010,"No","Elmer Floyd","DEM",43
"1128",105,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2010,"Yes","Johnny Dawkins","REP",44
"1129",106,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2010,"Yes","Diane Parfitt","DEM",44
"1130",107,"NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2010,"Yes","Jackie Warner","REP",45
"1131",108,"NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2010,"Yes","Rick Glazier","DEM",45
"1132",109,"NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2010,"Yes","Douglas Y. Yongue","DEM",46
"1133",110,"NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2010,"Yes","Gaston (G. L.) Pridgen","REP",46
"1134",111,"NC HOUSE OF REPRESENTATIVES DISTRICT 47",2,2010,"Yes","Brawleigh Jason Graham","REP",47
"1135",112,"NC HOUSE OF REPRESENTATIVES DISTRICT 47",2,2010,"Yes","Charles Graham","DEM",47
"1136",113,"NC HOUSE OF REPRESENTATIVES DISTRICT 48",2,2010,"Yes","Garland E. Pierce","DEM",48
"1137",114,"NC HOUSE OF REPRESENTATIVES DISTRICT 48",2,2010,"Yes","John F. Harry","REP",48
"1138",115,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2010,"Yes","Glen Bradley","REP",49
"1139",116,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2010,"Yes","John May","DEM",49
"1140",117,"NC HOUSE OF REPRESENTATIVES DISTRICT 5",2,2010,"Yes","Matthew (Matt) Peeler","REP",5
"1141",118,"NC HOUSE OF REPRESENTATIVES DISTRICT 5",2,2010,"Yes","Annie Ward Mobley","DEM",5
"1142",119,"NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2010,"Yes","Bill Faison","DEM",50
"1143",120,"NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2010,"Yes","Rick Smith","REP",50
"1144",121,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2010,"Yes","Jimmy L. Love, Sr.","DEM",51
"1145",122,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2010,"Yes","Michael (Mike) Stone","REP",51
"1146",123,"NC HOUSE OF REPRESENTATIVES DISTRICT 52",1,2010,"No","Jamie Boles","REP",52
"1147",124,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2010,"Yes","Abraham Oudeh","DEM",53
"1148",125,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2010,"Yes","David Lewis","REP",53
"1149",126,"NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2010,"Yes","Cathy Wright","REP",54
"1150",127,"NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2010,"Yes","Joe Hackney","DEM",54
"1151",128,"NC HOUSE OF REPRESENTATIVES DISTRICT 55",1,2010,"No","W.A. (Winkie) Wilkins","DEM",55
"1152",129,"NC HOUSE OF REPRESENTATIVES DISTRICT 56",1,2010,"No","Verla Insko","DEM",56
"1153",130,"NC HOUSE OF REPRESENTATIVES DISTRICT 57",2,2010,"Yes","Jon Hardister","REP",57
"1154",131,"NC HOUSE OF REPRESENTATIVES DISTRICT 57",2,2010,"Yes","Mary Price (Pricey) Harrison","DEM",57
"1155",132,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2010,"Yes","Darin H. Thomas","REP",58
"1156",133,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2010,"Yes","Alma Adams","DEM",58
"1157",134,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2010,"Yes","Theresa Yon","REP",59
"1158",135,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2010,"Yes","Maggie Jeffus","DEM",59
"1159",136,"NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2010,"Yes","Bill Cook","REP",6
"1160",137,"NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2010,"Yes","Arthur Williams","DEM",6
"1161",138,"NC HOUSE OF REPRESENTATIVES DISTRICT 60",2,2010,"Yes","Lonnie R. Wilson","REP",60
"1162",139,"NC HOUSE OF REPRESENTATIVES DISTRICT 60",2,2010,"Yes","Marcus Brandon","DEM",60
"1163",140,"NC HOUSE OF REPRESENTATIVES DISTRICT 61",1,2010,"No","John Faircloth","REP",61
"1164",141,"NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2010,"Yes","Jeffery Simon","LIB",62
"1165",142,"NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2010,"Yes","John M. Blust","REP",62
"1166",143,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2010,"Yes","Roger Kirk Parker","REP",63
"1167",144,"NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2010,"Yes","Alice Bordsen","DEM",63
"1168",145,"NC HOUSE OF REPRESENTATIVES DISTRICT 64",1,2010,"No","Dan W. Ingle","REP",64
"1169",146,"NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2010,"Yes","Bert Jones","UNA",65
"1170",147,"NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2010,"Yes","Nelson Cole","DEM",65
"1171",148,"NC HOUSE OF REPRESENTATIVES DISTRICT 66",2,2010,"Yes","Ken Goodman","DEM",66
"1172",149,"NC HOUSE OF REPRESENTATIVES DISTRICT 66",2,2010,"Yes","James Haywood Parsons","REP",66
"1173",150,"NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2010,"Yes","Justin P. Burr","REP",67
"1174",151,"NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2010,"Yes","Kevin Furr","DEM",67
"1175",152,"NC HOUSE OF REPRESENTATIVES DISTRICT 68",1,2010,"No","Craig Horn","REP",68
"1176",153,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2010,"Yes","John L. Barker","REP",69
"1177",154,"NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2010,"Yes","Pryor Gibson","DEM",69
"1178",155,"NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2010,"No","Angela R. Bryant","DEM",7
"1179",156,"NC HOUSE OF REPRESENTATIVES DISTRICT 70",1,2010,"No","Pat B. Hurley","REP",70
"1180",157,"NC HOUSE OF REPRESENTATIVES DISTRICT 71",1,2010,"No","Larry Womble","DEM",71
"1181",158,"NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2010,"Yes","Earline W. Parmon","DEM",72
"1182",159,"NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2010,"Yes","John Magee","REP",72
"1183",160,"NC HOUSE OF REPRESENTATIVES DISTRICT 73",1,2010,"No","Larry R. Brown","REP",73
"1184",161,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2010,"Yes","Dale R. Folwell","REP",74
"1185",162,"NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2010,"Yes","Cristina V. Vazquez","DEM",74
"1186",163,"NC HOUSE OF REPRESENTATIVES DISTRICT 75",1,2010,"No","William C. (Bill) McGee","REP",75
"1187",164,"NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2010,"No","Fred Steen II","REP",76
"1188",165,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2010,"Yes","Lorene T. Coates","DEM",77
"1189",166,"NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2010,"Yes","Harry Warren","REP",77
"1190",167,"NC HOUSE OF REPRESENTATIVES DISTRICT 78",1,2010,"No","Harold J. Brubaker","REP",78
"1191",168,"NC HOUSE OF REPRESENTATIVES DISTRICT 79",1,2010,"No","Julia Craven Howard","REP",79
"1192",169,"NC HOUSE OF REPRESENTATIVES DISTRICT 8",1,2010,"No","Edith D. Warren","DEM",8
"1193",170,"NC HOUSE OF REPRESENTATIVES DISTRICT 80",1,2010,"No","Jerry C. Dockham","REP",80
"1194",171,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2010,"Yes","Rayne Brown","REP",81
"1195",172,"NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2010,"Yes","L. Hugh Holliman","DEM",81
"1196",173,"NC HOUSE OF REPRESENTATIVES DISTRICT 82",1,2010,"No","Jeff Barnhart","REP",82
"1197",174,"NC HOUSE OF REPRESENTATIVES DISTRICT 83",1,2010,"No","Linda P. Johnson","REP",83
"1198",175,"NC HOUSE OF REPRESENTATIVES DISTRICT 84",1,2010,"No","Phillip Frye","REP",84
"1199",176,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2010,"Yes","Mitch Gillespie","REP",85
"1200",177,"NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2010,"Yes","Beth Ostgaard","DEM",85
"1201",178,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2010,"Yes","Walter Church, Jr.","DEM",86
"1202",179,"NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2010,"Yes","Hugh Blackwell","REP",86
"1203",180,"NC HOUSE OF REPRESENTATIVES DISTRICT 87",1,2010,"No","Edgar V. Starnes","REP",87
"1204",181,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2010,"Yes","David Munday","DEM",88
"1205",182,"NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2010,"Yes","Mark W. Hollo","REP",88
"1206",183,"NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2010,"No","Mitchell Smith Setzer","REP",89
"1207",184,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2010,"Yes","Marian N. McLawhorn","DEM",9
"1208",185,"NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2010,"Yes","Stan Larson","REP",9
"1209",186,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2010,"Yes","Sarah Stevens","REP",90
"1210",187,"NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2010,"Yes","Randy Wolfe","DEM",90
"1211",188,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2010,"Yes","Ed Gambill","DEM",91
"1212",189,"NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2010,"Yes","Bryan Holloway","REP",91
"1213",190,"NC HOUSE OF REPRESENTATIVES DISTRICT 92",1,2010,"No","Darrell McCormick","REP",92
"1214",191,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2010,"Yes","Cullie Tarleton","DEM",93
"1215",192,"NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2010,"Yes","Jonathan C. Jordan","REP",93
"1216",193,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2010,"Yes","David H. Moulton","DEM",94
"1217",194,"NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2010,"Yes","Shirley Blackburn Randleman","REP",94
"1218",195,"NC HOUSE OF REPRESENTATIVES DISTRICT 95",1,2010,"No","Grey Mills","REP",95
"1219",196,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2010,"Yes","Mark K. Hilton","REP",96
"1220",197,"NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2010,"Yes","Gary Lafone","DEM",96
"1221",198,"NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2010,"No","Johnathan Rhyne","REP",97
"1222",199,"NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2010,"No","Thom Tillis","REP",98
"1223",200,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2010,"Yes","Rodney W. Moore","DEM",99
"1224",201,"NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2010,"Yes","Michael T. Wilson","REP",99
"1225",1,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2012,"Yes","Bob Steinburg","REP",1
"1226",2,"NC HOUSE OF REPRESENTATIVES DISTRICT 1",2,2012,"Yes","Bill Luton","DEM",1
"1227",3,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2012,"Yes","Jim Babe Hardison","DEM",10
"1228",4,"NC HOUSE OF REPRESENTATIVES DISTRICT 10",2,2012,"Yes","John Bell","REP",10
"1229",5,"NC HOUSE OF REPRESENTATIVES DISTRICT 100",1,2012,"No","Tricia Cotham","DEM",100
"1230",6,"NC HOUSE OF REPRESENTATIVES DISTRICT 101",1,2012,"No","Beverly Miller Earle","DEM",101
"1231",7,"NC HOUSE OF REPRESENTATIVES DISTRICT 102",1,2012,"No","Becky Carney","DEM",102
"1232",8,"NC HOUSE OF REPRESENTATIVES DISTRICT 103",1,2012,"No","Bill Brawley","REP",103
"1233",9,"NC HOUSE OF REPRESENTATIVES DISTRICT 104",1,2012,"No","Ruth Samuelson","REP",104
"1234",10,"NC HOUSE OF REPRESENTATIVES DISTRICT 105",1,2012,"No","Jacqueline Schaffer","REP",105
"1235",11,"NC HOUSE OF REPRESENTATIVES DISTRICT 106",1,2012,"No","Carla Cunningham","DEM",106
"1236",12,"NC HOUSE OF REPRESENTATIVES DISTRICT 107",1,2012,"No","Kelly Alexander","DEM",107
"1237",13,"NC HOUSE OF REPRESENTATIVES DISTRICT 108",1,2012,"No","John A. Torbett","REP",108
"1238",14,"NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2012,"Yes","Dodie Reese","DEM",109
"1239",15,"NC HOUSE OF REPRESENTATIVES DISTRICT 109",2,2012,"Yes","Dana Bumgardner","REP",109
"1240",16,"NC HOUSE OF REPRESENTATIVES DISTRICT 11",1,2012,"No","Duane Hall","DEM",11
"1241",17,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Kelly E. Hastings","REP",110
"1242",18,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Jamar McKoy","DEM",110
"1243",19,"NC HOUSE OF REPRESENTATIVES DISTRICT 110",3,2012,"Yes","Lewis B. Guignard, Jr.","LIB",110
"1244",20,"NC HOUSE OF REPRESENTATIVES DISTRICT 111",1,2012,"No","Tim Moore","REP",111
"1245",21,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2012,"Yes","Mike Hager","REP",112
"1246",22,"NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2012,"Yes","Mark Brown","DEM",112
"1247",23,"NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2012,"Yes","George Alley","DEM",113
"1248",24,"NC HOUSE OF REPRESENTATIVES DISTRICT 113",2,2012,"Yes","Chris Whitmire","REP",113
"1249",25,"NC HOUSE OF REPRESENTATIVES DISTRICT 114",1,2012,"No","Susan C. Fisher","DEM",114
"1250",26,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2012,"Yes","Susan E. Wilson","DEM",115
"1251",27,"NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2012,"Yes","Nathan Ramsey","REP",115
"1252",28,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2012,"Yes","Tim Moffitt","REP",116
"1253",29,"NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2012,"Yes","Jane Whilden","DEM",116
"1254",30,"NC HOUSE OF REPRESENTATIVES DISTRICT 117",1,2012,"No","Chuck McGrady","REP",117
"1255",31,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2012,"Yes","Michele D. Presnell","REP",118
"1256",32,"NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2012,"Yes","Ray Rapp","DEM",118
"1257",33,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2012,"Yes","Joe Sam Queen","DEM",119
"1258",34,"NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2012,"Yes","Mike Clampitt","REP",119
"1259",35,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2012,"Yes","George Graham","DEM",12
"1260",36,"NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2012,"Yes","Jim Dancy","REP",12
"1261",37,"NC HOUSE OF REPRESENTATIVES DISTRICT 120",1,2012,"No","Roger West","REP",120
"1262",38,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2012,"Yes","Patricia (Pat) McElraft","REP",13
"1263",39,"NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2012,"Yes","Wyatt Rike","LIB",13
"1264",40,"NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,2012,"No","George G. Cleveland","REP",14
"1265",41,"NC HOUSE OF REPRESENTATIVES DISTRICT 15",1,2012,"No","Phillip Shepard","REP",15
"1266",42,"NC HOUSE OF REPRESENTATIVES DISTRICT 16",1,2012,"No","Chris Millis","REP",16
"1267",43,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2012,"Yes","Frank Iler","REP",17
"1268",44,"NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2012,"Yes","Lundia Washington","DEM",17
"1269",45,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2012,"Yes","Susi Hamilton","DEM",18
"1270",46,"NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2012,"Yes","Louis Harmati","REP",18
"1271",47,"NC HOUSE OF REPRESENTATIVES DISTRICT 19",2,2012,"Yes","Emilie Swearingen","DEM",19
"1272",48,"NC HOUSE OF REPRESENTATIVES DISTRICT 19",2,2012,"Yes","Ted Davis, Jr.","REP",19
"1273",49,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2012,"Yes","W. A. (Winkie) Wilkins","DEM",2
"1274",50,"NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2012,"Yes","Timothy Karan","REP",2
"1275",51,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2012,"Yes","Tom Gale","DEM",20
"1276",52,"NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2012,"Yes","Rick Catlin","REP",20
"1277",53,"NC HOUSE OF REPRESENTATIVES DISTRICT 21",1,2012,"No","Larry M. Bell","DEM",21
"1278",54,"NC HOUSE OF REPRESENTATIVES DISTRICT 22",1,2012,"No","William Brisson","DEM",22
"1279",55,"NC HOUSE OF REPRESENTATIVES DISTRICT 23",1,2012,"No","Joe Tolson","DEM",23
"1280",56,"NC HOUSE OF REPRESENTATIVES DISTRICT 24",1,2012,"No","Jean Farmer Butterfield","DEM",24
"1281",57,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2012,"Yes","Jeffrey L. (Jeff) Collins","REP",25
"1282",58,"NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2012,"Yes","Janice (Jan) Mills","DEM",25
"1283",59,"NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2012,"Yes","Jenifer Bubenik","DEM",26
"1284",60,"NC HOUSE OF REPRESENTATIVES DISTRICT 26",2,2012,"Yes","Leo Daughtry","REP",26
"1285",61,"NC HOUSE OF REPRESENTATIVES DISTRICT 27",2,2012,"Yes","Jesse Shearin","LIB",27
"1286",62,"NC HOUSE OF REPRESENTATIVES DISTRICT 27",2,2012,"Yes","Michael H. Wray","DEM",27
"1287",63,"NC HOUSE OF REPRESENTATIVES DISTRICT 28",1,2012,"No","James H. (J.H.) Langdon, Jr.","REP",28
"1288",64,"NC HOUSE OF REPRESENTATIVES DISTRICT 29",1,2012,"No","Larry D. Hall","DEM",29
"1289",65,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",2,2012,"Yes","Michael Speciale","REP",3
"1290",66,"NC HOUSE OF REPRESENTATIVES DISTRICT 3",2,2012,"Yes","Robert B. Cayton","DEM",3
"1291",67,"NC HOUSE OF REPRESENTATIVES DISTRICT 30",1,2012,"No","Paul Luebke","DEM",30
"1292",68,"NC HOUSE OF REPRESENTATIVES DISTRICT 31",1,2012,"No","H. M. (Mickey) Michaux, Jr.","DEM",31
"1293",69,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2012,"Yes","Scott Bynum","REP",32
"1294",70,"NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2012,"Yes","Nathan Baskerville","DEM",32
"1295",71,"NC HOUSE OF REPRESENTATIVES DISTRICT 33",1,2012,"No","Rosa U. Gill","DEM",33
"1296",72,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Deborah K. Ross","DEM",34
"1297",73,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Apryl Major (Write-in)","",34
"1298",74,"NC HOUSE OF REPRESENTATIVES DISTRICT 34",3,2012,"Yes","Write-in (miscellaneous)","",34
"1299",75,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2012,"Yes","Lori B. Millberg","DEM",35
"1300",76,"NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2012,"Yes","Chris Malone","REP",35
"1301",77,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2012,"Yes","Nelson Dollar","REP",36
"1302",78,"NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2012,"Yes","Lisa Baker","DEM",36
"1303",79,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2012,"Yes","Jason Ora Wunsch","DEM",37
"1304",80,"NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2012,"Yes","Paul Stam","REP",37
"1305",81,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2012,"Yes","Shane Murphy","UNA",38
"1306",82,"NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2012,"Yes","Yvonne Lewis Holley","DEM",38
"1307",83,"NC HOUSE OF REPRESENTATIVES DISTRICT 39",1,2012,"No","Darren Jackson","DEM",39
"1308",84,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Rebecca H. Judge","DEM",4
"1309",85,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Jimmy Dixon","REP",4
"1310",86,"NC HOUSE OF REPRESENTATIVES DISTRICT 4",3,2012,"Yes","Kevin E. Hayes","LIB",4
"1311",87,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","William (Watt) Jones","DEM",40
"1312",88,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","Ron Reale","LIB",40
"1313",89,"NC HOUSE OF REPRESENTATIVES DISTRICT 40",3,2012,"Yes","Marilyn Avila","REP",40
"1314",90,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2012,"Yes","Tom Murry","REP",41
"1315",91,"NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2012,"Yes","Jim Messina","DEM",41
"1316",92,"NC HOUSE OF REPRESENTATIVES DISTRICT 42",2,2012,"Yes","Frank Racz","REP",42
"1317",93,"NC HOUSE OF REPRESENTATIVES DISTRICT 42",2,2012,"Yes","Marvin W. Lucas","DEM",42
"1318",94,"NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2012,"Yes","Diana Carroll","REP",43
"1319",95,"NC HOUSE OF REPRESENTATIVES DISTRICT 43",2,2012,"Yes","Elmer Floyd","DEM",43
"1320",96,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2012,"Yes","Richard D. Button","REP",44
"1321",97,"NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2012,"Yes","Rick Glazier","DEM",44
"1322",98,"NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2012,"Yes","Eddie Dees","DEM",45
"1323",99,"NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2012,"Yes","John Szoka","REP",45
"1324",100,"NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2012,"Yes","Gaston (G.L.) Pridgen","REP",46
"1325",101,"NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2012,"Yes","Ken Waddell","DEM",46
"1326",102,"NC HOUSE OF REPRESENTATIVES DISTRICT 47",1,2012,"No","Charles Graham","DEM",47
"1327",103,"NC HOUSE OF REPRESENTATIVES DISTRICT 48",1,2012,"No","Garland E. Pierce","DEM",48
"1328",104,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2012,"Yes","Keith Karlsson","DEM",49
"1329",105,"NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2012,"Yes","Jim Fulghum","REP",49
"1330",106,"NC HOUSE OF REPRESENTATIVES DISTRICT 5",1,2012,"No","Annie Ward Mobley","DEM",5
"1331",107,"NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2012,"Yes","Rod Chaney","REP",50
"1332",108,"NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2012,"Yes","Valerie Foushee","DEM",50
"1333",109,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2012,"Yes","Michael (Mike) Stone","REP",51
"1334",110,"NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2012,"Yes","W. P. (Bill) Tatum","DEM",51
"1335",111,"NC HOUSE OF REPRESENTATIVES DISTRICT 52",1,2012,"No","James L. (Jamie) Boles, Jr.","REP",52
"1336",112,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2012,"Yes","Joe E. Langley","DEM",53
"1337",113,"NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2012,"Yes","David Lewis","REP",53
"1338",114,"NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2012,"Yes","Cathy Wright","REP",54
"1339",115,"NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2012,"Yes","Deb McManus","DEM",54
"1340",116,"NC HOUSE OF REPRESENTATIVES DISTRICT 55",2,2012,"Yes","Dale Nelson","DEM",55
"1341",117,"NC HOUSE OF REPRESENTATIVES DISTRICT 55",2,2012,"Yes","Mark Brody","REP",55
"1342",118,"NC HOUSE OF REPRESENTATIVES DISTRICT 56",2,2012,"Yes","Verla C. Insko","DEM",56
"1343",119,"NC HOUSE OF REPRESENTATIVES DISTRICT 56",2,2012,"Yes","Karrie Mead","REP",56
"1344",120,"NC HOUSE OF REPRESENTATIVES DISTRICT 57",1,2012,"No","Mary Price (Pricey) Harrison","DEM",57
"1345",121,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2012,"Yes","Olga Morgan Wright","REP",58
"1346",122,"NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2012,"Yes","Alma Adams","DEM",58
"1347",123,"NC HOUSE OF REPRESENTATIVES DISTRICT 59",1,2012,"No","Jon Hardister","REP",59
"1348",124,"NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2012,"Yes","Mattie Lawson","REP",6
"1349",125,"NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2012,"Yes","Paul Tine","DEM",6
"1350",126,"NC HOUSE OF REPRESENTATIVES DISTRICT 60",1,2012,"No","Marcus Brandon","DEM",60
"1351",127,"NC HOUSE OF REPRESENTATIVES DISTRICT 61",2,2012,"Yes","Ron Weatherford","DEM",61
"1352",128,"NC HOUSE OF REPRESENTATIVES DISTRICT 61",2,2012,"Yes","John Faircloth","REP",61
"1353",129,"NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2012,"Yes","John M. Blust","REP",62
"1354",130,"NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2012,"Yes","Kent P. Wilsey","LIB",62
